Participant,Result,Die P1,Die P2,Die P3,Roll P1,Roll P2,Roll P3,Payoff P1,Payoff P2,Payoff P3,Resp P1,Resp P2,Resp P3,Experiment,,Legend,
5,1,3,2,1,6,4,3,5,7,9,4,3,6,1,,,
5,1,2,1,2,6,2,5,7,9,7,5,6,4,1,,,
5,1,2,3,3,1,6,5,7,5,5,4,0,2,1,,,
5,0,1,3,1,1,5,3,-1,-5,-1,0,10,0,1,,,
5,0,1,1,3,1,1,3,-1,-1,-5,0,0,3,1,,,
5,0,2,2,1,1,5,2,-3,-3,-1,2,2,0,1,,,
5,0,3,2,3,2,1,1,-5,-3,-5,1,3,1,1,,,
5,1,3,3,3,4,5,6,5,5,5,4,5,7,1,,,
5,0,1,3,1,2,6,1,-1,-5,-1,1,7,4,1,,,
5,0,1,2,2,2,6,2,-1,-3,-3,2,0,2,1,,,
5,1,3,3,1,6,4,2,5,5,9,10,8,4,1,,,
5,1,2,2,1,5,4,2,7,7,9,6,6,2,1,,,
5,0,1,2,1,5,2,3,-1,-3,-1,0,3,0,1,,,
5,0,3,1,2,2,1,1,-5,-1,-3,2,0,3,1,,,
5,1,3,1,1,6,2,4,5,9,9,5,7,7,1,,,
5,1,2,1,3,6,1,6,7,9,5,3,8,7,1,,,
5,1,2,2,3,6,5,4,7,7,5,3,3,3,1,,,
5,1,1,2,3,3,2,6,9,7,5,4,3,6,1,,,
6,1,3,3,2,4,6,3,5,5,7,7,7,5,1,,,
6,0,2,1,3,3,2,5,-3,-1,-5,4,8,4,1,,,
6,0,2,3,2,3,3,1,-3,-5,-3,5,0,5,1,,,
6,1,1,2,2,1,5,5,9,7,7,1,7,7,1,,,
6,1,2,2,1,5,5,1,7,7,9,8,8,1,1,,,
6,1,3,1,2,6,1,4,5,9,7,9,2,5,1,,,
6,1,3,3,1,5,5,1,5,5,9,8,8,0,1,,,
6,1,2,2,2,2,6,5,7,7,7,6,6,6,1,,,
6,0,2,2,1,4,2,2,-3,-3,-1,4,4,8,1,,,
6,1,3,2,3,6,1,5,5,7,5,8,5,8,1,,,
6,0,2,3,1,1,4,1,-3,-5,-1,4,0,9,1,,,
6,1,1,3,1,2,6,3,9,5,9,2,8,3,1,,,
6,0,1,1,3,1,1,6,-1,-1,-5,9,9,0,1,,,
6,0,3,1,2,2,2,6,-5,-1,-3,2,8,3,1,,,
6,1,1,2,3,4,4,4,9,7,5,0,5,10,1,,,
6,0,1,2,2,2,2,2,-1,-3,-3,10,5,5,1,,,
6,0,2,1,2,2,3,4,-3,-1,-3,4,10,4,1,,,
6,1,3,3,2,4,4,4,5,5,7,10,10,6,1,,,
6,1,2,3,1,4,6,1,7,5,9,6,10,1,1,,,
6,0,1,3,1,1,6,1,-1,-5,-1,10,1,10,1,,,
7,0,2,2,3,1,1,6,-3,-3,-5,6,6,0,1,,,
7,0,1,1,1,3,2,1,-1,-1,-1,0,1,2,1,,,
